extract,crid
1996,C229122
1996,C229123
1996,C229124
1996,C229125
1996,C229127
1996,C229131
1996,C229132
1996,C229133
1996,C229135
1996,C229136
1996,C229137
1996,C229138
1996,C229142
1996,C229143
1996,C229144
1996,C229145
1996,C229146
1996,C229148
1996,C229149
1996,C229151
1996,C229152
1996,C229153
1996,C229154
1996,C229155
1996,C229156
1996,C229157
1996,C229158
1996,C229159
1996,C229160
1996,C229163
1996,C229164
1996,C229165
1996,C229168
1996,C229169
1996,C229170
1996,C229172
1996,C229181
1996,C229182
1996,C229183
1996,C229185
1996,C229186
1996,C229187
1996,C229189
1996,C229191
1996,C229192
1995,C229195
1996,C229196
1996,C229197
1996,C229198
1996,C229199
1996,C229200
1996,C229203
1996,C229204
1996,C229205
1996,C229206
1996,C229207
1996,C229208
1996,C229209
1996,C229210
1996,C229211
1996,C229214
1996,C229217
1996,C229220
1996,C229221
1996,C229222
1996,C229223
1996,C229224
1996,C229228
1996,C229229
1996,C229230
1996,C229231
1996,C229232
1996,C229234
1996,C229236
1996,C229239
1996,C229240
1996,C229242
1996,C229243
1996,C229244
1996,C229245
1994,C229246
1996,C229247
1996,C229248
1996,C229249
1996,C229250
1996,C229251
1996,C229252
1996,C229253
1996,C229254
2008,1016921
1996,C229256
1996,C229263
1996,C229264
1996,C229265
1996,C229266
1996,C229267
2008,1016996
1996,C229271
1996,C229273
1996,C229274
1996,C229275
1996,C229277
1996,C229278
1996,C229279
1996,C229280
1996,C229281
1996,C229282
1996,C229283
1996,C229288
1996,C229289
1996,C229293
1996,C229294
1996,C229295
1996,C229296
1996,C229297
1996,C229298
1996,C229300
1996,C229301
1996,C229302
1996,C229303
1996,C229304
1996,C229305
1996,C229306
1996,C229307
1996,C229308
1996,C229309
1996,C229310
1996,C229311
1996,C229312
1996,C229313
1996,C229314
1996,C229315
1996,C229316
1996,C229317
1996,C229318
1996,C229320
1996,C229322
1996,C229324
1996,C229325
1996,C229326
1996,C229327
1996,C229329
1996,C229332
1996,C229333
1996,C229334
1996,C229335
1996,C229341
1996,C229343
1996,C229345
1996,C229346
1996,C229348
1996,C229349
1996,C229350
1996,C229351
1996,C229353
1996,C229354
1996,C229356
1996,C229358
1996,C229359
1996,C229360
1996,C229363
1996,C229367
1996,C229369
1996,C229370
1996,C229372
1996,C229373
1996,C229374
1996,C229376
1996,C229377
1996,C229379
1996,C229382
1996,C229383
1996,C229384
1996,C229385
1996,C229386
1996,C229387
1996,C229388
1996,C229390
1996,C229391
1996,C229392
1996,C229393
1996,C229394
1996,C229395
1996,C229397
1996,C229398
1996,C229399
1996,C229401
1996,C229402
1996,C229403
1996,C229404
1996,C229405
1996,C229406
1996,C229407
