id,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,race,gender
32530,0.0000,31.7851,0.0000,0.0000,0,0,1,White,M
32490,,0.0000,,,0,0,2,White,M
19066,,0.0000,,,0,0,0,White,F
33813,,,,,0,0,0,Black,F
20232,,,,,0,0,1,Black,F
32470,0.0000,61.3498,0.0000,0.0000,0,0,2,White,M
25586,,0.0000,,,0,0,0,White,F
32471,0.0000,63.0721,0.0000,0.0000,0,0,0,White,M
32477,0.0000,62.2247,0.0000,0.0000,0,0,0,White,M
32484,0.0000,62.8748,0.0000,0.0000,0,0,0,Black,M
32489,0.0000,69.3114,0.0000,0.0000,0,0,0,White,M
32492,0.0000,52.1525,0.0000,0.0000,0,0,0,Black,M
32494,0.0000,68.9329,0.0000,0.0000,0,0,0,White,M
2735,29.7987,0.0000,79.9133,0.0000,10,1,1,Black,M
35437,,,,,,,,Unknown,F
32113,24.1180,0.0000,0.0000,0.0000,7,0,6,White,M
32503,0.0000,0.0000,0.0000,0.0000,0,0,1,Black,F
32515,0.0000,0.0000,0.0000,0.0000,0,0,1,Hispanic,F
32520,0.0000,0.0000,0.0000,0.0000,0,0,1,Asian/Pacific,M
4151,,0.0000,,,0,0,0,White,M
30341,,0.0000,,,0,0,0,Black,F
31529,,0.0000,,,0,0,0,White,M
11226,32.9094,0.0000,0.0000,0.0000,10,1,0,White,F
6785,0.0000,0.0000,0.0000,0.0000,4,0,0,Black,F
16144,0.0000,0.0000,0.0000,0.0000,2,0,0,Black,M
17891,0.0000,0.0000,0.0000,,1,0,0,Black,M
21090,,0.0000,,,0,0,0,White,M
23034,,0.0000,,,0,0,0,White,M
6774,,0.0000,,,0,0,0,White,M
30712,,0.0000,,,0,0,0,Black,M
11676,,0.0000,,,0,0,0,White,M
14457,,0.0000,,,0,0,0,Black,M
3304,,0.0000,,,0,0,0,Black,F
20324,,0.0000,,,0,0,0,White,M
5151,,0.0000,,,0,0,0,White,M
26024,,0.0000,,,0,0,0,White,M
13065,27.9380,41.3671,88.0204,54.6117,22,3,11,Black,M
32144,0.0000,41.9446,0.0000,38.9028,5,0,5,Hispanic,M
32371,0.0000,75.6703,0.0000,71.9505,0,0,8,White,M
32448,41.5139,0.0000,0.0000,72.1094,5,0,0,Black,M
32462,0.0000,0.0000,0.0000,38.9028,0,0,0,White,F
18576,,0.0000,,,0,0,0,White,M
23853,,0.0000,,,1,0,0,Black,M
33849,,,,,1,0,0,Hispanic,F
32528,,0.0000,,,11,7,0,Black,M
33796,,,,,1,1,0,Black,F
32531,0.0000,0.0000,0.0000,0.0000,0,0,1,White,M
30185,,0.0000,,,0,0,0,Black,M
5451,,0.0000,,,0,0,0,White,M
26309,,0.0000,,,0,0,0,Black,M
32549,0.0000,0.0000,0.0000,0.0000,1,0,0,White,M
33056,0.0000,0.0000,0.0000,0.0000,10,1,0,Unknown,""
33731,,,,,1,1,0,Hispanic,F
28428,,0.0000,,,5,3,0,White,M
31990,0.0000,0.0000,0.0000,0.0000,12,2,1,White,F
33044,29.7987,0.0000,0.0000,0.0000,12,2,0,Unknown,""
33681,,,,,1,1,0,Hispanic,M
32526,,,,,2,0,0,Black,M
32529,,0.0000,,,17,8,1,Black,M
33050,,0.0000,,,1,1,0,Black,F
33708,,,,,2,1,0,Black,M
33828,,,,,3,1,0,White,M
33745,,,,,1,1,0,Black,F
33747,,,,,1,1,0,Asian/Pacific,M
33785,,,,,1,1,0,Black,M
33786,,,,,1,1,0,Black,F
33787,,,,,1,1,0,Black,F
33789,,,,,3,3,0,White,M
33822,,,,,1,1,0,Asian/Pacific,M
33824,,,,,1,1,0,Black,F
33826,,,,,1,1,0,Black,F
33827,,,,,2,1,0,White,F
33829,,,,,1,1,0,Black,M
33834,,,,,1,1,0,Black,F
33776,,,,,1,1,0,White,M
33777,,,,,1,1,0,Black,M
33781,,,,,1,1,0,Asian/Pacific,M
33782,,,,,1,1,0,Black,F
33818,,,,,1,1,0,Black,F
33821,,,,,1,1,0,Black,M
32554,0.0000,0.0000,0.0000,0.0000,1,0,0,Unknown,F
27556,,0.0000,,,0,0,0,White,M
7891,,0.0000,,,0,0,0,White,M
8574,,0.0000,,,0,0,0,White,M
30985,26.5568,53.2330,73.8757,0.0000,7,0,4,Black,F
27790,,0.0000,,,0,0,0,White,M
28542,,0.0000,,,0,0,0,Black,M
32497,,0.0000,,,0,0,0,White,M
32502,0.0000,73.2282,0.0000,0.0000,0,0,0,Hispanic,M
33707,,,,,1,1,0,Black,F
32504,0.0000,0.0000,0.0000,0.0000,0,0,1,White,F
32532,0.0000,0.0000,0.0000,0.0000,0,0,5,White,F
12773,,0.0000,,,0,0,0,White,M
33838,,,,,2,0,0,White,F
33841,,,,,1,0,0,Black,F
33807,,,,,1,1,0,Black,F
33814,,,,,1,1,0,White,F
33815,,,,,1,1,0,Black,F
33052,0.0000,0.0000,0.0000,0.0000,1,0,0,Unknown,""
33720,,,,,1,1,0,White,M
33780,,,,,2,1,0,Hispanic,F
33734,,,,,1,1,0,Black,F
9047,,0.0000,,,1,1,0,White,M
33754,,,,,2,1,0,White,M
33049,,0.0000,,,15,1,0,Unknown,""
10861,,0.0000,,,0,0,0,White,M
22404,,0.0000,,,1,1,0,White,M
27563,,0.0000,,,2,2,0,White,M
33795,,,,,1,1,0,Black,F
7008,,0.0000,,,0,0,0,White,M
3901,,0.0000,,,0,0,0,White,M
24857,0.0000,0.0000,0.0000,,1,0,0,White,F
33722,,,,,2,1,0,White,F
33846,,,,,1,0,0,Hispanic,M
32466,0.0000,62.2247,0.0000,0.0000,0,0,0,Black,F
32468,0.0000,63.0721,0.0000,0.0000,0,0,0,Black,F
16432,0.0000,0.0000,0.0000,,0,0,0,White,M
32475,,,,,0,0,0,Hispanic,F
32482,,,,,0,0,0,White,M
32487,,,,,0,0,0,White,M
32474,,0.0000,,,0,0,0,White,M
32473,0.0000,51.0528,0.0000,0.0000,0,0,0,White,M
32509,0.0000,84.9639,0.0000,0.0000,0,0,0,Black,M
33803,,,,,1,1,0,Black,F
32493,0.0000,62.2247,0.0000,0.0000,0,0,0,Hispanic,F
32496,0.0000,52.9450,0.0000,0.0000,0,0,0,White,M
33805,,,,,1,1,0,Black,M
32472,0.0000,62.2247,0.0000,0.0000,0,0,0,Hispanic,F
32476,0.0000,62.2247,0.0000,0.0000,0,0,0,Hispanic,F
32469,0.0000,52.9450,0.0000,0.0000,0,0,0,Hispanic,M
32495,0.0000,67.6068,0.0000,0.0000,0,0,0,Black,M
32498,0.0000,62.2247,0.0000,0.0000,0,0,0,White,F
32499,0.0000,65.5982,0.0000,0.0000,0,0,0,White,M
25640,,0.0000,,,0,0,0,White,M
33802,,,,,1,1,0,Black,M
33761,,,,,1,0,0,White,M
33767,,,,,1,0,0,White,M
33768,,,,,2,0,0,White,F
33772,,,,,1,0,0,Black,F
33775,,,,,1,0,0,Black,F
33778,,,,,5,0,0,Black,M
33779,,,,,2,0,0,White,M
33710,,,,,1,1,0,Black,F
33057,0.0000,0.0000,0.0000,0.0000,7,6,0,Unknown,""
33792,,,,,1,0,0,White,M
33721,,,,,5,4,0,Black,M
33794,,,,,1,0,0,Hispanic,F
7338,,0.0000,,,0,0,0,White,M
31358,,,,,0,0,0,White,M
33791,,,,,1,1,0,White,M
33808,,,,,4,1,0,White,M
33833,,,,,3,1,0,Black,F
33835,,,,,3,1,0,White,M
33790,,,,,1,0,0,White,M
1614,,0.0000,,,1,0,0,Black,M
33843,,,,,1,0,0,White,M
33845,,,,,1,0,0,Black,F
22347,,0.0000,,,0,0,0,White,M
33047,24.1180,0.0000,61.1521,0.0000,7,1,0,White,M
23675,,0.0000,,,1,0,0,White,M
33847,,,,,1,0,0,White,F
33874,,,,,,,,Black,F
33048,24.1180,0.0000,0.0000,0.0000,8,0,0,Unknown,""
33712,,,,,1,0,0,Black,F
33719,,,,,1,0,0,Black,F
15740,,,,,0,0,0,White,M
32463,24.1180,0.0000,61.1521,0.0000,7,0,0,White,M
32464,50.8920,0.0000,0.0000,0.0000,12,0,0,White,M
33694,,,,,1,0,0,Hispanic,F
33696,,,,,1,0,0,Black,F
33699,,,,,4,0,0,Black,M
33703,,,,,1,0,0,Asian/Pacific,M
33055,0.0000,0.0000,0.0000,0.0000,6,0,0,Unknown,""
32776,,,,,0,0,0,Unknown,M
33690,,,,,1,0,0,Hispanic,F
33804,,,,,1,0,0,Asian/Pacific,M
25189,,0.0000,,,0,0,0,White,M
32521,0.0000,0.0000,0.0000,0.0000,0,0,0,Black,M
4996,,0.0000,,,0,0,0,Black,F
14420,,0.0000,,,0,0,0,White,M
17468,,0.0000,,,2,0,0,Black,M
33714,,,,,1,0,0,Black,F
33783,,,,,2,0,0,White,F
33801,,,,,2,0,0,White,F
33810,,,,,2,0,0,Black,M
33840,,,,,1,0,0,Black,M
33848,,,,,1,0,0,White,M
1403,,0.0000,,,1,0,0,White,M
32340,24.1180,0.0000,61.1521,0.0000,3,0,0,Black,F
6642,,0.0000,,,0,0,0,White,M
32446,0.0000,0.0000,61.1521,0.0000,1,0,0,Black,F
32513,0.0000,0.0000,0.0000,0.0000,0,0,0,White,F
18633,,0.0000,,,1,0,0,Black,M
27699,,0.0000,,,0,0,0,White,M
21085,,0.0000,,,0,0,0,White,M
1983,,0.0000,,,0,0,0,White,M
33817,,,,,0,0,0,Black,F
33825,,,,,0,0,0,White,M
33836,,,,,0,0,0,Hispanic,F
33839,,,,,0,0,0,White,F
33842,,,,,0,0,0,White,F
26424,,,,,0,0,0,Black,M
120,,,,,0,0,0,Black,M
25422,,,,,0,0,0,Hispanic,M
12451,,0.0000,,,0,0,0,Black,M
25926,,0.0000,,,0,0,0,White,M
17689,,0.0000,,,0,0,0,Black,M
32569,,,,,0,0,0,Unknown,F
