allegation_id,officer_id
C118935,17692
C119521,6735
C119593,28820
C119758,28820
C120007,8106
C120027,23868
C120027,22365
C120060,7341
C120646,14340
C120943,24501
C120965,5172
C121179,29955
C121179,9679
C121179,22480
C121179,18758
C121179,10595
C121179,13066
C121179,3087
C121179,4416
C121179,18359
C121179,23005
C121179,19154
C121179,4034
C121179,8015
C121179,3039
C121392,10723
C121532,768
C121813,7341
C122035,5727
C122035,762
C122035,18725
C122128,16785
C122128,28505
C122310,9107
C122620,17130
C122751,28505
C122784,20045
C122784,19944
C122947,29980
C122967,2874
C122967,30485
C123125,22272
C123231,1284
C123231,11797
C123231,23848
C123231,6824
C123310,5181
C123543,31467
C123543,3311
C123543,20965
C123682,2078
C123682,23433
C123682,5754
C123682,691
C123682,8182
C123882,4516
C124127,6249
C124354,2664
C124739,5610
C124739,20924
C124962,30389
C124962,3522
C125023,8356
C125023,17533
C125212,24046
C125212,10569
C125229,4503
C125304,15082
C125361,28705
C125433,5469
C125824,28705
C126053,15123
C126053,15124
C126146,17241
C126148,19283
C126615,31519
C126681,24223
C126681,30663
C126774,23238
C127118,19772
C127139,12942
C127424,26300
C127470,23928
C127470,31478
C127498,5962
C127657,9879
C127677,23965
C127721,12589
C127739,1673
C127739,15256
C127776,12589
C127815,1640
C127984,10569
C127993,2816
C128019,7678
C128146,15064
C128225,8962
C128228,13795
C128273,2819
C128293,23784
C128387,16430
C128461,1673
C128461,15256
C128505,14149
C128532,26422
C128572,12589
C128702,26619
C128702,22463
C128702,29950
C128702,3832
C128732,6446
C128833,18758
C128841,16430
C128896,9842
C129236,6337
C129560,1133
C129574,14692
C129574,5529
C130239,23712
C130454,16784
C130582,19210
C130720,20161
C130771,16188
C131245,8665
C131263,18476
C131263,25465
C131272,22309
C131272,5461
C131272,3464
C131272,21956
C131293,25157
C131293,20146
C131367,22733
C131374,12589
C131406,14207
C131406,2687
C131546,2360
C131546,24760
C131612,23911
C131612,19900
C131651,13885
C131651,6081
C131683,31268
C131683,12572
C131703,20680
C131752,947
C131753,17624
C131753,1101
C131753,17975
C131831,16023
C131831,29769
C131948,30504
C131948,23303
C132006,6274
C132050,15504
C132050,15350
C132050,11788
C132050,23963
C132050,14927
C132050,6419
C132050,12585
C132050,3132
C132050,23840
C132050,7792
C132050,20909
C132050,23163
C132157,10640
C132213,9806
C132228,8988
C132228,14514
C132385,25472
C132414,391
C132538,27048
C132635,27744
C132686,29245
C132686,26654
C132746,201
C132766,12381
C132766,13850
C132766,14842
C132766,31720
C132766,10150
C132767,9437
C132767,18997
C132789,3851
C132805,21354
C132805,31639
C132811,9762
C132911,21466
C133024,30961
C133024,6979
C133024,27989
C133024,23904
C133024,23108
C133066,8984
C133161,30742
C133373,27552
C133373,15298
C133391,9315
C133398,14986
C133406,199
C133494,27191
C133494,11156
C133573,8337
C133573,26694
C133587,4625
C133638,14932
C133638,8403
C133787,4930
C133859,25061
C133859,28803
C133859,6936
C133859,31497
C133859,16818
C133872,16229
C133881,13644
C133883,12593
C133883,5463
C133883,13159
C133883,30643
C133925,23743
C133925,9646
C133925,23335
C133933,117
C133967,6497
C133967,9715
C133967,21917
C133967,25499
C133967,17203
C133967,20666
C133967,17463
C133967,25992
C133967,10665
C133967,6048
C133967,3851
C134040,23618
C134175,5874
C134229,16635
C134275,23646
C134275,8732
C134319,22123
C134319,3315
C134319,14937
C134359,31708
C134359,5198
C134406,19516
C134430,18412
C134436,19772
C134601,28068
C134604,20078
C134607,19091
C134607,26771
C134622,22770
C134710,24696
C134723,10907
C134723,10453
C134723,3548
C134723,2443
C134723,6912
C134733,4798
C134751,26495
C134755,21822
C134812,10219
C134812,27510
C134932,27643
C135035,29980
C135130,17367
C135225,13590
C135256,25659
C135257,28705
C135292,21557
C135386,9375
C135405,23650
C135406,19772
C135419,19475
C135446,21193
C135508,13717
C135639,18720
C135639,23042
C135662,22601
C135662,22188
C135717,4088
C135717,4089
C135753,1823
C135824,11731
C135870,23657
C135871,30614
C135871,4695
C135907,20078
C135907,20597
C135978,22308
C135988,18895
C135988,513
C135991,6899
C136031,10528
C136031,10596
C136031,25608
C136054,1948
C136068,18247
C136068,12597
C136068,23675
C136068,17898
C136068,9282
C136068,6533
C136068,18439
C136068,3183
C136068,28792
C136070,25634
C136071,22944
C136071,1793
C136071,12568
C136071,15624
C136072,7481
C136073,30708
C136073,2674
C136076,8692
C136076,30123
C136102,13571
C136108,1042
C136109,10545
C136122,1012
C136144,9448
C136144,1948
C136150,2107
C136150,11852
C136150,15961
C136150,28978
C136150,13289
C136150,28975
C136150,27563
C136181,3813
C136181,25436
C136245,17093
C136247,4839
C136248,19210
C136423,5160
C136439,380
C136439,660
C136439,27344
C136439,6960
C136439,21687
C136439,4205
C136439,11653
C136439,23883
C136439,7384
C136523,10264
C136527,22863
C136527,18391
C136527,20713
C136544,28607
C136566,25650
C136568,25993
C136789,21308
C136789,10999
C136790,21438
C136792,29370
C136796,1162
C136825,24621
C136854,2874
C136888,26045
C136903,26045
C136905,3203
C136905,26312
C137080,7764
C137083,25890
C137140,6307
C137140,6280
C137319,13466
C137325,17367
C137366,2837
C137366,5350
C137383,10528
C137383,12306
C137403,10093
C137443,13966
C137448,18504
C137451,27191
C137451,2253
C137451,8565
C137813,22853
C137813,22857
C137813,8843
C137813,25705
C137813,22465
C137813,20957
C137813,14224
C137820,31115
C137820,19816
C137820,20717
C137820,20490
C137820,21058
C137820,20590
C137820,27305
C137820,14464
C137820,1617
C137820,11657
C137820,13994
C137820,1764
C137820,3183
C137820,8297
C137820,321
C137846,22437
C137846,18693
C137846,23186
C137846,11670
C137846,14312
C137846,23098
C137910,27193
C137928,3913
C137987,26841
C137987,2870
C138053,31568
C138068,10523
C138110,17367
C138113,4703
C138113,26844
C138191,21851
C138191,1154
C138191,29130
C138211,3671
C138211,25925
C138322,29082
C138467,10013
C138533,25785
C138534,4807
1081597,8401
C138535,26300
C138545,7539
C138547,18359
C138548,7211
C138549,24083
C138717,28680
C138717,437
C138717,1501
C138717,11394
C138938,13578
C138938,1095
C138938,5754
C138938,2622
C138938,10966
C139131,20078
C139211,7636
C139220,16406
C139220,9366
C139227,8264
C139227,19978
C139227,25779
C139227,9717
C139227,8285
C139277,18997
C139293,137
C139293,24005
C139293,20486
C139293,24752
C139293,14236
C139301,22742
C139301,8432
C139301,8449
C139301,10845
C139334,23238
C139368,20078
C139385,5464
C139395,1915
C139395,20690
C139395,30946
C139397,30361
C139415,29775
C139495,26788
C139495,13724
C139511,20698
C139511,8293
C139511,28044
C139516,6958
C139516,4703
C139516,7686
C139516,27805
C139516,19827
C139516,19889
C139516,32536
C139704,22272
C139767,30258
C139811,21773
C139811,2685
C139811,22893
C139811,17964
C139811,2253
C139811,27467
C139861,11967
C139887,3551
C139887,24064
C139989,17327
C139989,3551
C140001,4798
C140073,2084
C140073,26224
C140090,23659
C140100,15479
C140105,16425
C140105,754
C140105,29250
C140105,18883
C140127,20791
C140196,2076
C140317,22764
C140335,19208
C140346,1515
C140446,29512
C140446,29496
C140450,30176
C140450,28666
C140486,27989
C140666,20513
C140666,11106
C140666,16980
